popularity,original_title,runtime,genres,vote_count,vote_average,release_year,budget,revenue
32.985763,Jurassic World,124.0,Action|Adventure|Science Fiction|Thriller,5562,6.5,2015,137999939.280026,1392445892.5238
28.419936,Mad Max: Fury Road,120.0,Action|Adventure|Science Fiction|Thriller,6185,7.1,2015,137999939.280026,348161292.489031
13.112507,Insurgent,119.0,Adventure|Science Fiction|Thriller,2480,6.3,2015,101199955.472019,271619025.407628
11.173104,Star Wars: The Force Awakens,136.0,Action|Adventure|Science Fiction|Fantasy,5292,7.5,2015,183999919.040035,1902723129.80182
9.335014,Furious 7,137.0,Action|Crime|Thriller,2947,7.3,2015,174799923.088033,1385748801.47052
9.1107,The Revenant,156.0,Western|Drama|Adventure|Thriller,3929,7.2,2015,124199945.352024,490314247.021731
8.654359,Terminator Genisys,125.0,Science Fiction|Action|Thriller|Adventure,2598,5.8,2015,142599937.256027,405355075.683766
7.6674,The Martian,141.0,Drama|Adventure|Science Fiction,4572,7.6,2015,99359956.2816192,547749654.310152
7.40416499999999,Minions,91.0,Family|Animation|Adventure|Comedy,2893,6.5,2015,68079970.0448131,1064192016.79551
6.326804,Inside Out,94.0,Comedy|Animation|Family,3935,8.0,2015,160999929.160031,785411574.698907
6.200282,Spectre,148.0,Action|Adventure|Crime,3254,6.2,2015,225399900.824043,810220283.783075
6.189369,Jupiter Ascending,124.0,Science Fiction|Fantasy|Action|Adventure,1937,5.2,2015,161919931.51523,169268630.681802
6.118847,Ex Machina,108.0,Drama|Science Fiction,2854,7.6,2015,13799993.9280026,33919845.9552677
5.984995,Pixels,105.0,Action|Comedy|Science Fiction,1575,5.8,2015,80959964.3776156,224146025.095748
5.944927,Avengers: Age of Ultron,141.0,Action|Adventure|Science Fiction,4304,7.4,2015,257599886.656049,1292632336.88177
5.8984,The Hateful Eight,167.0,Crime|Drama|Mystery|Western,2389,7.4,2015,40479982.1888078,143299244.588332
5.749758,Taken 3,109.0,Crime|Action|Thriller,1578,6.1,2015,44159980.5696085,299709578.207785
5.573184,Ant-Man,115.0,Science Fiction|Action|Adventure,3779,7.0,2015,119599947.376023,477113780.029936
5.556818,Cinderella,112.0,Romance|Fantasy|Family|Drama,1495,6.8,2015,87399961.5440169,498963025.216268
